id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
99,short,2025-04-27T20:30:00+00:00,2025-04-28T03:00:00+00:00,1801.59,1778.538779257973,4.5927,6.577,99.2904,SL,1.5042,1.5608
100,long,2025-04-28T11:00:00+00:00,2025-04-28T13:30:00+00:00,1819.73,1785.3206346077427,4.4744,6.4522,-160.4134,SL,1.7069,1.6134
101,long,2025-04-29T06:00:00+00:00,2025-04-30T09:30:00+00:00,1812.52,1805.62,4.2267,6.1171,-35.2813,Replace,-0.2686,-0.6326
103,long,2025-04-30T09:30:00+00:00,2025-04-30T12:30:00+00:00,1805.62,1779.0804185306313,4.1842,5.9996,-117.0466,SL,-1.0514,-1.3655
102,short,2025-04-30T05:30:00+00:00,2025-04-30T14:00:00+00:00,1805.24,1759.7076730188994,4.2438,6.0516,187.1785,SL,1.4855,1.7807
104,long,2025-05-01T15:00:00+00:00,2025-05-02T07:00:00+00:00,1862.43,1822.766816422903,4.1696,6.1463,-171.5259,SL,1.3614,1.3413
105,long,2025-05-03T08:30:00+00:00,2025-05-04T23:30:00+00:00,1824.66,1806.4616585444983,3.9739,5.7719,-78.0903,SL,-1.9864,-1.9981
106,long,2025-05-06T22:00:00+00:00,2025-05-07T02:00:00+00:00,1799.89,1825.200346244893,3.8984,5.6528,93.017,SL,0.0222,-0.0669
107,long,2025-05-09T06:00:00+00:00,2025-05-09T08:30:00+00:00,2250.81,2372.7582229254567,3.2414,5.9947,389.2882,SL,0.5561,0.3628
108,long,2025-05-10T10:30:00+00:00,2025-05-11T00:00:00+00:00,2395.68,2533.3437675862497,3.5329,6.9655,479.3868,SL,1.5401,1.4148
109,short,2025-05-11T06:30:00+00:00,2025-05-12T07:30:00+00:00,2520.09,2613.5904756593704,3.9291,8.0683,-375.441,SL,-0.2224,0.1369
110,long,2025-05-13T09:00:00+00:00,2025-05-14T02:00:00+00:00,2479.5,2657.671280652687,3.5392,7.2726,623.3112,SL,1.8173,1.5999
111,long,2025-05-15T00:00:00+00:00,2025-05-15T05:30:00+00:00,2631.3,2564.6203529105424,4.0457,8.4085,-278.1743,SL,0.286,-0.0078
112,long,2025-05-15T15:30:00+00:00,2025-05-17T01:30:00+00:00,2563.03,2474.4117273733164,3.8278,7.7129,-346.926,SL,-0.5233,-0.8086
113,long,2025-05-17T14:00:00+00:00,2025-05-18T09:30:00+00:00,2478.97,2503.873679644522,3.5378,7.0513,81.0529,SL,-1.4258,-1.739
114,long,2025-05-19T13:30:00+00:00,2025-05-19T18:30:00+00:00,2426.03,2486.0698172589005,3.7152,7.2998,215.7602,SL,0.4187,0.3275
115,long,2025-05-20T19:30:00+00:00,2025-05-21T07:00:00+00:00,2499.89,2566.635271106711,3.8644,7.8316,250.0988,SL,-0.3569,-0.7196
116,long,2025-05-22T08:00:00+00:00,2025-05-23T12:00:00+00:00,2664.29,2572.981025054525,3.9075,8.1859,-364.9757,SL,1.3858,1.2224
117,long,2025-05-23T13:30:00+00:00,2025-05-25T00:30:00+00:00,2581.0,2490.5596605299365,3.6094,7.3221,-333.7575,SL,-1.745,-1.8489
118,short,2025-05-24T15:30:00+00:00,2025-05-25T03:30:00+00:00,2554.45,2517.8452201242458,3.6469,7.3993,126.0947,SL,-1.0596,-0.9767
120,short,2025-05-25T21:30:00+00:00,2025-05-26T00:00:00+00:00,2514.13,2553.334232128628,3.4576,7.0085,-142.5611,SL,1.079,1.7214
119,long,2025-05-25T09:30:00+00:00,2025-05-26T02:30:00+00:00,2494.21,2545.8616976307653,3.4852,7.0263,172.9902,SL,-1.8146,-1.8315
121,long,2025-05-27T03:00:00+00:00,2025-05-27T14:30:00+00:00,2551.9,2637.441256466638,3.4422,7.1451,287.305,SL,-0.7166,-0.8908
122,short,2025-05-29T11:30:00+00:00,2025-05-29T14:30:00+00:00,2715.03,2670.931238502009,3.5529,7.6543,149.0242,SL,-0.2252,0.0625
123,long,2025-05-30T02:00:00+00:00,2025-05-30T14:30:00+00:00,2618.41,2594.22,3.8547,8.0372,-101.2824,Replace,-1.6017,-1.74
124,long,2025-05-30T14:30:00+00:00,2025-05-30T16:30:00+00:00,2594.22,2531.6010010604364,3.7735,7.7369,-244.0297,SL,-1.6859,-1.7812
125,long,2025-05-31T21:00:00+00:00,2025-06-01T01:30:00+00:00,2543.1,2507.0323090592183,3.5615,7.1944,-135.6495,SL,0.78,0.5211
126,long,2025-06-01T11:00:00+00:00,2025-06-01T18:00:00+00:00,2498.5,2523.931282550373,3.4622,6.9555,81.0927,SL,-1.5308,-1.78
127,long,2025-06-03T13:00:00+00:00,2025-06-03T21:30:00+00:00,2620.38,2580.2338214938627,3.394,7.0604,-143.3165,SL,0.1533,-0.1174
128,long,2025-06-04T08:00:00+00:00,2025-06-04T14:00:00+00:00,2638.0,2594.306456432673,3.2084,6.7149,-146.9013,SL,0.8239,0.7463
129,long,2025-06-04T14:30:00+00:00,2025-06-05T10:30:00+00:00,2639.29,2592.684866736507,3.0398,6.3617,-148.0319,SL,-1.3101,-1.58
131,long,2025-06-05T11:00:00+00:00,2025-06-05T14:00:00+00:00,2602.69,2565.251926755657,2.9119,6.0194,-115.0353,SL,-1.5737,-1.7971
